StormID,Time,Start,End,Ini_Lat,Ini_Lon,Ini_Time,,Lat_2,Lon_2,Time_2,,Lat_3,Lon_3,Time_3,,Distance1,Distance2,,Total Distance KM,Total Distance m,,Time1,Time2,TotalTime(S),,ObservedMotion(m/s),,,,Distance1_U,,Distance2_U,TotalD_U_dist,TotalU_Vector,,,Distance1_V,,Distance2_V,TotalD_V_dist,TotalV_Vector,,,TotalU_Vector,TotalV_Vector,,U**2,V**2,Mag,,AngleRad,AngleDeg
23,2,1:52,4:08,34.38779,-99.88203,1:52,1/0/1900 1:52,34.41842,-99.81751,2:02,1/0/1900 2:02,34.5002,-99.75704,2:17,1/0/1900 2:17,6.836505692,10.63821558,,17.47472127,17474.72127,,600,900,1500,,11.64981418,,,23,5.93344348,23,5.558967783,11.49241126,7.661607509,,23,3.39777634,23,9.071913407,12.46968975,8.313126498,,,7.661607509,8.313126498,,58.70022962,69.10807217,11.30523338,,0.826159913,47.33547623
23,3,xxx,xxx,34.62144,-99.66269,2:43,1/0/1900 2:43,34.68066,-99.60857,2:59,1/0/1900 2:59,34.75971,-99.54811,3:15,1/0/1900 3:15,8.232502533,10.37172659,,18.60422912,18604.22912,,960,960,1920,,9.689702667,,,23,4.963161137,23,5.540639394,10.50380053,5.470729443,,23,6.569523296,23,8.769448133,15.33897143,7.989047619,,,5.470729443,7.989047619,,29.92888064,63.82488186,9.682652658,,0.970359232,55.59748858
23,4,xxx,xxx,34.9311,-99.46371,3:45,1/0/1900 3:45,35.0056,-99.47487,3:57,1/0/1900 3:57,35.06271,-99.44843,4:08,1/0/1900 4:08,8.327629804,6.779670104,,15.10729991,15107.29991,,720,660,1380,,10.94731878,,,23,1.019629204,23,2.413494746,3.43312395,2.487770978,,23,8.265029638,23,6.335851937,14.60088158,10.58034897,,,2.487770978,10.58034897,,6.189004439,111.9437843,10.86889087,,1.339859962,76.76832097
24,2,1:06,5:48,34.46344,-99.54986,1:43,1/0/1900 1:43,34.53394,-99.47198,1:57,1/0/1900 1:57,34.68169,-99.43919,2:17,1/0/1900 2:17,10.59823641,16.6640614,,27.26229781,27262.29781,,840,1200,2040,,13.36387148,,,24,7.155618543,24,3.010212016,10.16583056,4.983250274,,24,7.82066549,24,16.39041161,24.2110771,11.86817505,,,4.983250274,11.86817505,,24.83278329,140.853579,12.87192147,,1.173267414,67.22327104
24,3,xxx,xxx,34.86172,-99.28538,2:43,1/0/1900 2:43,34.83614,-99.32597,2:59,1/0/1900 2:59,34.92568,-99.26578,3:15,1/0/1900 3:15,4.672617804,11.35567367,,16.02829147,16028.29147,,960,960,1920,,8.348068474,,,24,3.71160954,24,5.505565904,9.217175444,4.80061221,,24,2.837789205,24,9.933423944,12.77121315,6.651673515,,,4.80061221,6.651673515,,23.04587759,44.24476055,8.20308711,,0.945644747,54.18145294
24,4,xxx,xxx,34.99673,-99.13245,3:45,1/0/1900 3:45,35.00875,-99.06847,3:57,1/0/1900 3:57,35.05752,-98.96629,4:14,1/0/1900 4:14,5.990723773,10.78020155,,16.77092532,16770.92532,,720,1020,1740,,9.638462828,,,24,5.840849339,24,9.326831696,15.16768104,8.717058066,,24,1.333506309,24,5.410601417,6.744107726,3.87592398,,,8.717058066,3.87592398,,75.98710133,15.0227867,9.539910273,,0.418384866,23.97168703
24,5,xxx,xxx,35.19439,-98.78398,4:47,1/0/1900 4:47,35.22559,-98.74451,4:58,1/0/1900 4:58,35.26094,-98.6736,5:16,1/0/1900 5:16,4.989786559,7.552206657,,12.54199322,12541.99322,,660,1080,1740,,7.20804208,,,24,3.59460208,24,6.45542787,10.05002995,5.775879282,,24,3.461466055,24,3.92190702,7.383373075,4.243317859,,,5.775879282,4.243317859,,33.36078148,18.00574645,7.167044574,,0.633612174,36.30330341
27,2,1:52,2:12,35.88509,-98.72697,1:52,1/0/1900 1:52,35.9317,-98.68839,2:02,1/0/1900 2:02,35.99664,-98.6394,2:12,1/0/1900 2:12,6.234959883,8.45279538,,14.68775526,14687.75526,,600,600,1200,,12.23979605,,,27,3.483554402,27,4.42092466,7.904479062,6.587065885,,27,5.171719914,27,7.205634382,12.3773543,10.31446191,,,6.587065885,10.31446191,,43.38943697,106.3881245,12.23836433,,1.002459705,57.43671023
28,3,2:12,3:25,34.96268,-99.22034,2:43,1/0/1900 2:43,35.10598,-99.11099,2:59,1/0/1900 2:59,35.20392,-99.02529,3:15,1/0/1900 3:15,18.76983103,13.38058539,,32.15041642,32150.41642,,960,960,1920,,16.74500855,,,28,9.98689104,28,7.81329545,17.80018649,9.270930464,,28,15.89787446,28,10.86579804,26.7636725,13.93941276,,,9.270930464,13.93941276,,85.95015167,194.3072281,16.74088946,,0.983887726,56.3726142
30,4,3:57,6:53,34.99516,-99.28853,3:57,1/0/1900 3:57,35.0905,-99.15173,4:14,1/0/1900 4:14,null,null,null,null,16.36059531,0,,16.36059531,16360.59531,,1020,#VALUE!,1020,,16.03979932,,,30,12.48895593,,0,12.48895593,12.24407444,,30,10.57714917,,0,10.57714917,10.36975409,,,12.24407444,10.36975409,,149.9173589,107.5317999,16.0452223,,0.702703368,40.26193721
30,5,xxx,xxx,35.25523,-98.98879,4:47,1/0/1900 4:47,35.27178,-98.93248,4:58,1/0/1900 4:58,35.28641,-98.86933,5:16,1/0/1900 5:16,5.442960405,5.970087976,,11.41304838,11413.04838,,660,1080,1740,,6.559223207,,,30,5.12442411,30,5.745721708,10.87014582,6.24721024,,30,1.836146498,30,1.623135506,3.459282004,1.988093106,,,6.24721024,1.988093106,,39.02763578,3.952514198,6.5559248,,0.30810284,17.65299237
